date;municipality_id;municipality_name;municipality_population;dose_1;dose_2;dose_3;valid_certificates;valid_certificates_percent
2022-01-04T23:59:59+01:00;10101;Eisenstadt;14895;11936;11364;7494;11413;76.62302786
2022-01-04T23:59:59+01:00;10201;Rust;2000;1623;1567;1018;1559;77.95
2022-01-04T23:59:59+01:00;10301;Breitenbrunn am Neusiedler See;1883;1536;1481;1089;1478;78.49176845
2022-01-04T23:59:59+01:00;10302;Donnerskirchen;1841;1529;1463;1047;1456;79.08745247
2022-01-04T23:59:59+01:00;10303;Großhöflein;2122;1730;1638;1120;1648;77.66258247
2022-01-04T23:59:59+01:00;10304;Hornstein;3176;2564;2437;1592;2443;76.92065491
2022-01-04T23:59:59+01:00;10305;Klingenbach;1223;919;857;583;879;71.87244481
2022-01-04T23:59:59+01:00;10306;Leithaprodersdorf;1217;1042;995;689;1012;83.15529992
2022-01-04T23:59:59+01:00;10307;Mörbisch am See;2228;1848;1757;1243;1759;78.9497307
2022-01-04T23:59:59+01:00;10308;Müllendorf;1384;1150;1095;728;1104;79.76878613
2022-01-04T23:59:59+01:00;10309;Neufeld an der Leitha;3587;2822;2682;1708;2711;75.57847784
2022-01-04T23:59:59+01:00;10310;Oggau am Neusiedler See;1738;1496;1420;1056;1425;81.99079402
2022-01-04T23:59:59+01:00;10311;Oslip;1271;1085;1054;729;1052;82.76947286
2022-01-04T23:59:59+01:00;10312;Purbach am Neusiedler See;2899;2380;2285;1527;2304;79.47568127
2022-01-04T23:59:59+01:00;10313;Sankt Margarethen im Burgenland;2683;2219;2119;1423;2124;79.16511368
2022-01-04T23:59:59+01:00;10314;Schützen am Gebirge;1417;1176;1120;813;1125;79.39308398
2022-01-04T23:59:59+01:00;10315;Siegendorf;3118;2455;2343;1545;2363;75.7857601
2022-01-04T23:59:59+01:00;10316;Steinbrunn;2932;2339;2214;1404;2228;75.98908595
2022-01-04T23:59:59+01:00;10317;Trausdorf an der Wulka;2067;1750;1672;1188;1688;81.6642477
2022-01-04T23:59:59+01:00;10318;Wimpassing an der Leitha;1702;1253;1177;744;1200;70.5052879
2022-01-04T23:59:59+01:00;10319;Wulkaprodersdorf;1982;1562;1472;962;1477;74.52068618
2022-01-04T23:59:59+01:00;10320;Loretto;476;389;379;265;384;80.67226891
2022-01-04T23:59:59+01:00;10321;Stotzing;823;637;608;422;613;74.4835966
2022-01-04T23:59:59+01:00;10322;Zillingtal;991;770;744;510;748;75.47931382
2022-01-04T23:59:59+01:00;10323;Zagersdorf;1101;907;869;590;871;79.10990009
2022-01-04T23:59:59+01:00;10401;Bocksdorf;815;631;597;379;604;74.11042945
2022-01-04T23:59:59+01:00;10402;Burgauberg-Neudauberg;1334;981;947;574;956;71.66416792
2022-01-04T23:59:59+01:00;10403;Eberau;928;731;708;495;710;76.50862069
2022-01-04T23:59:59+01:00;10404;Gerersdorf-Sulz;1003;832;794;550;799;79.66101695
2022-01-04T23:59:59+01:00;10405;Güssing;3665;2952;2820;2037;2810;76.67121419
2022-01-04T23:59:59+01:00;10406;Güttenbach;883;753;731;502;727;82.33295583
2022-01-04T23:59:59+01:00;10407;Heiligenbrunn;744;596;572;404;572;76.88172043
2022-01-04T23:59:59+01:00;10408;Kukmirn;2009;1495;1398;938;1442;71.77700348
2022-01-04T23:59:59+01:00;10409;Neuberg im Burgenland;968;765;735;511;740;76.44628099
2022-01-04T23:59:59+01:00;10410;Neustift bei Güssing;446;360;350;230;352;78.92376682
2022-01-04T23:59:59+01:00;10411;Olbendorf;1457;1097;1020;665;1030;70.69320522
2022-01-04T23:59:59+01:00;10412;Ollersdorf im Burgenland;921;744;705;440;715;77.6330076
2022-01-04T23:59:59+01:00;10413;Sankt Michael im Burgenland;987;758;725;492;734;74.36676798
2022-01-04T23:59:59+01:00;10414;Stegersbach;2688;2055;1939;1274;1964;73.06547619
2022-01-04T23:59:59+01:00;10415;Stinatz;1218;991;957;614;962;78.9819376
2022-01-04T23:59:59+01:00;10416;Strem;872;755;723;509;714;81.88073394
2022-01-04T23:59:59+01:00;10417;Tobaj;1342;1087;1033;727;1042;77.64530551
